embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
PDG,001,3501,PDG,PK-GIC,MED,23042026,1805,24042026,0300,773
PDG,001,3601,MED,PK-GIC,PDG,24042026,0430,24042026,1300,773
PDG,002,3502,PDG,PK-GIC,MED,24042026,2220,25042026,0715,773
PDG,002,3602,MED,PK-GIC,PDG,25042026,0845,25042026,1715,773
PDG,003,3503,PDG,PK-GIC,MED,26042026,0520,26042026,1415,773
PDG,003,3603,MED,PK-GIC,PDG,26042026,1545,27042026,0015,773
PDG,004,3504,PDG,PK-GIC,MED,27042026,1320,27042026,2215,773
PDG,004,3604,MED,PK-GIC,PDG,27042026,2345,28042026,0815,773
PDG,005,3505,PDG,PK-GIC,MED,28042026,1805,29042026,0300,773
PDG,005,3605,MED,PK-GIC,PDG,29042026,0430,29042026,1300,773
PDG,006,3506,PDG,PK-GIC,MED,29042026,2205,30042026,0700,773
PDG,006,3606,MED,PK-GIC,PDG,30042026,0830,30042026,1700,773
PDG,007,3507,PDG,PK-GIC,MED,01052026,0620,01052026,1515,773
PDG,007,3607,MED,PK-GIC,PDG,01052026,1645,02052026,0115,773
PDG,008,3508,PDG,PK-GIC,MED,02052026,0820,02052026,1715,773
PDG,008,3608,MED,PK-GIC,PDG,02052026,1845,03052026,0315,773
PDG,009,3509,PDG,PK-GIC,MED,03052026,0520,03052026,1415,773
PDG,009,3609,MED,PK-GIC,UPG,03052026,1545,04052026,0305,773
PDG,010,3510,PDG,PK-GIC,MED,04052026,1405,04052026,2300,773
PDG,010,3610,MED,PK-GIC,PDG,05052026,0030,05052026,0900,773
PDG,011,3511,PDG,PK-GIC,MED,05052026,1635,06052026,0130,773
PDG,011,3611,MED,PK-GIC,PDG,06052026,0300,06052026,1130,773
PDG,012,3512,PDG,PK-GIC,JED,06052026,2040,07052026,0530,773
PDG,012,3612,JED,PK-GIC,PDG,07052026,0700,07052026,1600,773
PDG,013,3513,PDG,PK-GIC,JED,08052026,0010,08052026,0900,773
PDG,013,3613,JED,PK-GIC,PDG,08052026,1030,08052026,1930,773
PDG,014,3514,PDG,PK-GIC,JED,09052026,0305,09052026,1155,773
PDG,014,3614,JED,PK-GIC,CGK,09052026,1325,10052026,0110,773
XXX,014,9999,0,PK-GIC,0,30121899,0000,30121899,0000,0
