embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
MES,001,3301,MAD,PK-GIA,JED,01062026,0300,01062026,0900,333
MES,001,3401,JED,PK-GIA,KNO,01062026,1100,01062026,2015,333
MES,002,3302,KNO,PK-GIA,JED,02062026,0500,02062026,1400,333
MES,002,3402,JED,PK-GIA,KNO,02062026,1600,03062026,0115,333
MES,003,3303,KNO,PK-GIA,JED,03062026,1000,03062026,1900,333
MES,003,3403,JED,PK-GIA,KNO,03062026,2100,04062026,0615,333
MES,004,3304,KNO,PK-GIA,JED,04062026,1400,04062026,2300,333
MES,004,3404,JED,PK-GIA,KNO,05062026,0100,05062026,1015,333
MES,005,3305,KNO,PK-GIA,JED,05062026,2000,06062026,0500,333
MES,005,3405,JED,PK-GIA,KNO,06062026,0700,06062026,1615,333
MES,006,3306,KNO,PK-GIA,JED,07062026,0000,07062026,0900,333
MES,006,3406,JED,PK-GIA,KNO,07062026,1100,07062026,2015,333
MES,007,3307,KNO,PK-GIA,JED,08062026,0700,08062026,1600,333
MES,007,3407,JED,PK-GIA,KNO,08062026,1800,09062026,0315,333
MES,008,3308,KNO,PK-GIA,JED,09062026,1330,09062026,2230,333
MES,008,3408,JED,PK-GIA,KNO,10062026,0030,10062026,0945,333
MES,009,3309,KNO,PK-GIA,JED,10062026,1555,11062026,0055,333
MES,009,3409,JED,PK-GIA,KNO,11062026,0255,11062026,1210,333
MES,010,3310,KNO,PK-GIA,JED,11062026,1900,12062026,0400,333
MES,010,3410,JED,PK-GIA,KNO,12062026,0600,12062026,1515,333
MES,011,3311,KNO,PK-GIA,JED,12062026,2055,13062026,0555,333
MES,011,3411,JED,PK-GIA,KNO,13062026,0755,13062026,1710,333
MES,012,946,KNO,PK-GIA,JED,14062026,0235,14062026,1135,333
MES,012,947,JED,PK-GIA,KNO,14062026,1335,14062026,2250,333
MES,013,3313,KNO,PK-GIA,JED,15062026,0800,15062026,1700,333
MES,013,3413,JED,PK-GIA,KNO,15062026,1900,16062026,0415,333
MES,014,3314,KNO,PK-GIA,MED,16062026,0850,16062026,1745,333
MES,014,3414,MED,PK-GIA,AAN,16062026,1945,16062026,2225,333
MES,014,3414,AAN,PK-GIA,KNO,16062026,2325,17062026,0625,333
MES,015,3315,KNO,PK-GIA,MED,17062026,2105,18062026,0600,333
MES,015,3415,MED,PK-GIA,AAN,18062026,0800,18062026,1040,333
MES,015,3415,AAN,PK-GIA,KNO,18062026,1140,18062026,1840,333
MES,016,3316,KNO,PK-GIA,MED,19062026,0020,19062026,0915,333
MES,016,3416,MED,PK-GIA,AAN,19062026,1115,19062026,1355,333
MES,016,3416,AAN,PK-GIA,KNO,19062026,1455,19062026,2155,333
MES,017,3317,KNO,PK-GIA,MED,20062026,0825,20062026,1720,333
MES,017,3417,MED,PK-GIA,AAN,20062026,1920,20062026,2200,333
MES,017,3417,AAN,PK-GIA,KNO,20062026,2300,21062026,0600,333
XXX,017,9999,0,PK-GIA,0,30121899,0000,30121899,0000,0
